timestamp,value
1565092800000,763.4
1565093100000,786.04
1565093400000,711.0
1565093700000,735.68
1565094000000,726.0
1565094300000,766.72
1565094600000,720.28
1565094900000,688.0
1565095200000,707.4
1565095500000,684.24
1565095800000,637.24
1565096100000,656.24
1565096400000,712.5714285714287
1565096700000,426.1190476190477
1565097000000,139.66666666666666
1565097300000,146.76
1565097600000,135.88
1565097900000,134.6
1565098200000,145.24
1565098500000,172.6
1565098800000,125.2
1565099100000,138.44
1565099400000,120.52
1565099700000,118.92
1565100000000,161.56
1565100300000,201.24
1565100600000,137.6
1565100900000,178.12
1565101200000,114.88
1565101500000,109.24
1565101800000,124.12
1565102100000,146.92
1565102400000,98.76
1565102700000,104.48
1565103000000,88.08
1565103300000,88.52
1565103600000,113.2
1565103900000,94.6
1565104200000,94.12
1565104500000,117.6
1565104800000,103.16
1565105100000,97.04
1565105400000,105.92
1565105700000,116.92
1565106000000,136.28
1565106300000,86.48
1565106600000,71.04
1565106900000,70.44
1565107200000,168.08
1565107500000,158.92
1565107800000,101.6
1565108100000,137.24
1565108400000,122.0
1565108700000,60.36
1565109000000,125.68
1565109300000,106.12
1565109600000,52.92
1565109900000,113.76
1565110200000,108.84
1565110500000,43.52
1565110800000,126.0
1565111100000,120.6
1565111400000,45.48
1565111700000,109.48
1565112000000,88.56
1565112300000,36.96
1565112600000,107.44
1565112900000,91.2
1565113200000,45.68
1565113500000,118.08
1565113800000,111.84
1565114100000,54.8
1565114400000,131.4
1565114700000,121.92
1565115000000,59.08
1565115300000,112.96
1565115600000,106.44
1565115900000,27.32
1565116200000,84.24
1565116500000,77.2
1565116800000,43.88
1565117100000,97.72
1565117400000,105.2
1565117700000,60.96
1565118000000,91.04
1565118300000,89.72
1565118600000,42.8
1565118900000,80.44
1565119200000,80.88
1565119500000,78.64
1565119800000,105.48
1565120100000,84.52
1565120400000,33.32
1565120700000,132.16
1565121000000,113.92
1565121300000,36.76
1565121600000,145.64
1565121900000,133.6
1565122200000,76.32
1565122500000,139.28
1565122800000,116.12
1565123100000,74.72
1565123400000,148.36
